PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Blue (460 nm) auto fluorescence outcome,Sample Source
RESULT_TYPE,,,,,,,STRING,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,Type of compound activity based on both the AR agonist mode screen and the auto fluorescence counter screens.,Type of compound activity in the ratio readout of the AR agonist mode screen.,The concentration of sample yielding half-maximal activation in the ratio readout of the AR agonist mode screen.,Percent activation in the ratio readout of the AR agonist mode screen.,Type of compound activity in the 530 nm readout of the AR agonist mode screen.,The concentration of sample yielding half-maximal activation in the 530 nm readout of the AR agonist mode screen.,Percent activation in the 530 nm readout of the AR agonist mode screen.,Type of compound activity in the 460 nm readout of the AR agonist mode screen.,The concentration of sample yielding half-maximal activation in the 460 nm readout of the AR agonist mode screen.,Percent activation in the 460 nm readout of the AR agonist mode screen.,Type of compound activity in the auto fluorescence counter screens.,Where sample was obtained.
RESULT_UNIT,,,,,,,NONE,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE,MICROMOLAR,PERCENT,NONE,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,
1,144203552,12850184,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
2,144203553,89753,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
3,144203554,9403,Active,53,,,active agonist,active agonist,2.58222,110.384,inactive,,0,active agonist,3.25083,123.948,inactive,NCI
4,144203555,13218779,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
5,144203556,142766,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
6,144203557,16043,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
