,CID,Activity_Outcome,Activity_Score,Ratio_Potency_(uM),MW,Polar_Area,Complexity,Heavy_Count,HBondDonor,HBondAcc,RotBonds,IsoSMILES
0,12850184,Inactive,0,100.0,426.34,276.0,196.0,27,8,14,8,C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.C(C(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O.[Ca+2]
1,89753,Inactive,0,100.0,527.6,283.0,165.0,27,10,14,8,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Ba+2]
2,9403,Active,53,2.58222,396.6,46.5,597.0,29,1,3,5,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4CCCC4)CCC5=C3C=CC(=C5)O
3,13218779,Inactive,0,100.0,253.36,75.4,384.0,17,0,4,4,C[C@@]12CC[C@@H](C1(C)C)C[C@H]2OC(=O)CSC#N
4,142766,Inactive,0,100.0,283.28,90.6,270.0,21,3,5,1,C1=CC=C(C(=C1)C(=O)O)O.C1=CC2=C(C(=C1)O)N=CC=C2
5,16043,Inactive,0,100.0,166.22,40.5,148.0,12,2,2,1,CC(C)(C)C1=C(C=CC(=C1)O)O
6,2724372,Inactive,0,100.0,294.4,36.4,412.0,22,1,3,3,C=C[C@H]1CN2CCC1C[C@@H]2[C@H](C3=CC=NC4=CC=CC=C34)O
7,637566,Inactive,0,100.0,154.25,20.2,150.0,11,1,1,4,CC(=CCC/C(=C/CO)/C)C
8,994,Inactive,0,100.0,165.19,63.3,153.0,12,2,3,3,C1=CC=C(C=C1)CC(C(=O)O)N
9,4766,Inactive,0,100.0,354.4,92.2,545.0,25,2,5,2,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O
10,79472,Inactive,0,100.0,445.3,119.0,513.0,30,6,5,2,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC4=C(C=C(N=C4C=C3)C)N)N.Cl.Cl
11,197883,Inactive,0,100.0,182.2,76.6,139.0,10,4,6,3,[C@H]([C@@H](C(=O)O)S)(C(=O)O)S
12,51,Inactive,0,100.0,146.1,91.7,171.0,10,2,5,4,C(CC(=O)O)C(=O)C(=O)O
13,66064,Inactive,0,100.0,480.4,35.0,510.0,30,2,7,4,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F.Cl.Cl
14,8969,Inactive,0,100.0,354.4,65.6,555.0,26,2,4,2,COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O
15,10664,Inactive,0,100.0,241.11,79.4,143.0,14,5,4,2,CC1=NC=C(C(=C1O)CN)CO.Cl.Cl
16,8739,Inactive,0,100.0,201.2,106.0,284.0,13,2,5,2,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N
17,4904,Inactive,0,100.0,295.4,23.5,294.0,22,1,2,5,C1CCN(CC1)CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O
18,65463,Inactive,0,100.0,505.9,6.5,514.0,33,2,2,6,CC(C)(C)C1=CC=C(C=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl.Cl.Cl
19,439501,Active,53,0.022421,584.7,207.0,1080.0,41,8,12,4,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@H]([C@@]3([C@@H]4[C@@H](CC[C@@]3(C2)O)[C@]5(CC[C@@H]([C@]5(C[C@H]4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O
20,65708,Inactive,0,100.0,190.2,66.0,220.0,14,2,3,3,C1=CC=C2C(=C1)NC(=N2)CCC(=O)O
21,60196259,Inactive,0,100.0,494.7,122.0,663.0,35,6,7,4,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C.C1CNCCN1
22,5338,Inactive,0,100.0,300.34,106.0,442.0,21,2,6,3,C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N
23,3246155,Inactive,0,100.0,403.5,75.2,433.0,28,1,5,4,CN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)O
24,5920,Inactive,0,100.0,650.97,92.8,402.0,23,3,5,5,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O
25,54724367,Inactive,0,100.0,564.0,171.0,1110.0,39,7,10,4,C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCN5CCCC5)N(C)C)O.Cl
26,667466,Inactive,0,100.0,315.9,28.5,381.0,21,0,2,3,CN(C)CC/C=C/1\\C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
27,24403,Inactive,0,100.0,265.9,136.0,124.0,13,0,7,0,[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+]
28,6419941,Inactive,0,100.0,356.25,49.8,340.0,21,2,4,4,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(C3=CC=CC=C3)O.Br
29,6603108,Inactive,0,100.0,384.3,62.3,418.0,23,2,5,5,CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4.Br
30,6419978,Inactive,0,100.0,400.3,77.1,460.0,24,2,5,5,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)[O-].Br
